tipo,imagem,x1,y1,x2,y2,conf
FP,img-334_jpg.rf.db369de950f19db870a1355adb21fd7d.jpg,250,179,415,246,0.582
FP,img-334_jpg.rf.db369de950f19db870a1355adb21fd7d.jpg,421,25,466,37,0.547
FP,img-334_jpg.rf.db369de950f19db870a1355adb21fd7d.jpg,372,154,393,167,0.332
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,151,103,210,142,0.61
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,1,158,279,299,0.59
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,80,211,151,256,0.493
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,76,179,278,309,0.488
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,69,184,275,350,0.392
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,96,137,127,143,0.288
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,88,129,144,146,0.27
FP,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,12,169,50,183,0.255
FP,img-337_jpg.rf.ae66bf164bde9b815b3d7e8e85200538.jpg,0,201,58,296,0.349
FP,img-337_jpg.rf.ae66bf164bde9b815b3d7e8e85200538.jpg,362,133,482,199,0.324
FP,img-343_jpg.rf.fc63ec5643cc134dafffc27c81f4ad02.jpg,514,126,540,145,0.327
FP,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,174,102,208,106,0.291
FP,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,81,122,140,129,0.264
FP,img-36_jpg.rf.d525e75d78b1d37d3623e604a6329dbc.jpg,461,361,578,484,0.364
FP,img-36_jpg.rf.d525e75d78b1d37d3623e604a6329dbc.jpg,133,40,218,126,0.352
FP,img-390_jpg.rf.58e978f02159606d73fa34bba8cefaea.jpg,65,85,241,235,0.357
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,327,213,481,274,0.719
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,10,65,32,70,0.506
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,107,122,320,198,0.376
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,1,67,55,85,0.357
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,8,65,34,75,0.326
FP,img-397_jpg.rf.115fb7fd16925d33d191edbdde0c974d.jpg,6,64,36,80,0.268
FP,img-398_jpg.rf.fc907c07973bf41c0cd536eb1d23207b.jpg,118,56,218,98,0.516
FP,img-398_jpg.rf.fc907c07973bf41c0cd536eb1d23207b.jpg,543,87,605,120,0.395
FP,img-415_jpg.rf.27fc2c20c0318a4ddb1eb011013f0b2e.jpg,106,79,159,90,0.458
FP,img-415_jpg.rf.27fc2c20c0318a4ddb1eb011013f0b2e.jpg,278,72,312,80,0.318
FP,img-415_jpg.rf.27fc2c20c0318a4ddb1eb011013f0b2e.jpg,286,73,312,79,0.27
FP,img-42_jpg.rf.b1fe341475b25c7d82717868768b246d.jpg,248,271,404,375,0.841
FP,img-42_jpg.rf.b1fe341475b25c7d82717868768b246d.jpg,51,283,160,369,0.576
FP,img-44_jpg.rf.6d1d8c5abe298d269bb2366100dac2bc.jpg,659,93,720,128,0.284
FP,img-461_jpg.rf.18e65876f95b9394f01acbf2e9714e9c.jpg,293,250,414,275,0.554
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,43,156,102,175,0.684
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,374,75,400,93,0.454
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,379,76,400,92,0.439
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,211,81,230,87,0.35
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,140,114,163,122,0.319
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,208,209,340,261,0.273
FP,img-486_jpg.rf.8aebacf0c57d14dca19e291080e9f5bd.jpg,186,199,345,267,0.253
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,228,185,269,195,0.546
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,46,264,76,279,0.513
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,133,130,166,145,0.317
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,150,28,179,36,0.313
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,61,145,77,152,0.287
FP,img-525_jpg.rf.0b40b645512816af83b58d55c87877d8.jpg,151,29,172,36,0.283
FP,img-588_jpg.rf.f59943f2b39c4e73102fc02aca1671a7.jpg,127,53,172,63,0.529
FP,img-588_jpg.rf.f59943f2b39c4e73102fc02aca1671a7.jpg,244,116,485,280,0.471
FP,img-588_jpg.rf.f59943f2b39c4e73102fc02aca1671a7.jpg,53,147,142,191,0.421
FP,img-621_jpg.rf.41356c9b1e39f7a99a8672cf72301768.jpg,245,103,296,129,0.643
FP,img-631_jpg.rf.8840502032d8bb388d31bda605070df0.jpg,135,153,452,239,0.745
FP,img-634_jpg.rf.452e6df45b3db668e312ef012dc054ef.jpg,261,104,274,111,0.4
FP,img-634_jpg.rf.452e6df45b3db668e312ef012dc054ef.jpg,304,103,316,116,0.322
FP,img-634_jpg.rf.452e6df45b3db668e312ef012dc054ef.jpg,253,105,276,117,0.32
FP,img-634_jpg.rf.452e6df45b3db668e312ef012dc054ef.jpg,202,122,217,128,0.287
FP,img-82_jpg.rf.67eaa6de32268f7184c6a0434244e09f.jpg,314,497,397,579,0.764
FP,img-82_jpg.rf.67eaa6de32268f7184c6a0434244e09f.jpg,171,389,218,420,0.567
FP,img-98_jpg.rf.247a4d96df6c8c1b33a4d29847a033f0.jpg,311,246,475,348,0.295
FP,pothole-107-_jpg.rf.4c6ce19cc35fb96fee26faf75705786f.jpg,617,482,640,504,0.31
FP,pothole-107-_jpg.rf.4c6ce19cc35fb96fee26faf75705786f.jpg,613,491,643,509,0.29
FP,pothole-107-_jpg.rf.4c6ce19cc35fb96fee26faf75705786f.jpg,616,497,643,514,0.278
FP,pothole-107-_jpg.rf.4c6ce19cc35fb96fee26faf75705786f.jpg,544,484,566,498,0.263
FP,pothole-11-_jpg.rf.c7fc049077d5b44a1430c7aaba4fd17b.jpg,578,603,645,666,0.611
FP,pothole-11-_jpg.rf.c7fc049077d5b44a1430c7aaba4fd17b.jpg,606,538,653,549,0.488
FP,pothole-11-_jpg.rf.c7fc049077d5b44a1430c7aaba4fd17b.jpg,609,491,646,505,0.341
FP,pothole-129-_jpg.rf.98d2b5d9fddeb42783288eb00af37501.jpg,561,470,581,483,0.28
FP,pothole-166-_jpg.rf.311e778642ebda6e505bc856d8633a3a.jpg,594,538,673,594,0.83
FP,pothole-166-_jpg.rf.311e778642ebda6e505bc856d8633a3a.jpg,598,604,697,657,0.775
FP,pothole-205-_jpg.rf.ce5f0f4599f6ec4f85ad80324360f9c0.jpg,352,645,433,687,0.581
FP,pothole-205-_jpg.rf.ce5f0f4599f6ec4f85ad80324360f9c0.jpg,224,617,266,631,0.508
FP,pothole-215-_jpg.rf.e0d3e857f2d981047204cfdc33344943.jpg,152,548,321,608,0.371
FP,pothole-215-_jpg.rf.e0d3e857f2d981047204cfdc33344943.jpg,150,537,365,610,0.313
FP,pothole-215-_jpg.rf.e0d3e857f2d981047204cfdc33344943.jpg,169,537,359,585,0.26
FP,pothole-23-_jpg.rf.4a46c56c265299cb2e55e6c782e1256f.jpg,681,495,708,503,0.436
FP,pothole-50-_jpg.rf.a8d19e4676d2808fe8fa4f241412ec36.jpg,302,745,341,787,0.4
FP,pothole-52-_jpg.rf.35656b152da9863d24f197e047e973ae.jpg,284,698,324,717,0.485
FP,pothole-61-_jpg.rf.07781e454bcfb40b2b5994653dd06d24.jpg,264,608,321,648,0.538
FP,pothole-61-_jpg.rf.07781e454bcfb40b2b5994653dd06d24.jpg,248,606,324,650,0.439
FP,pothole-61-_jpg.rf.07781e454bcfb40b2b5994653dd06d24.jpg,236,662,270,677,0.395
FP,pothole-61-_jpg.rf.07781e454bcfb40b2b5994653dd06d24.jpg,260,575,402,649,0.357
FP,pothole-61-_jpg.rf.07781e454bcfb40b2b5994653dd06d24.jpg,248,590,370,649,0.285
FP,pothole-67-_jpg.rf.62608b2fe49fbd4481a760c143c22279.jpg,770,557,806,575,0.592
FP,pothole-67-_jpg.rf.62608b2fe49fbd4481a760c143c22279.jpg,745,546,807,576,0.393
FP,pothole-67-_jpg.rf.62608b2fe49fbd4481a760c143c22279.jpg,734,532,756,545,0.276
FP,vlcsnap-2020-04-08-13h54m02s006_jpg.rf.1d3d8a990637f5c1894caed1eddbccce.jpg,597,616,658,637,0.273
FP,vlcsnap-2020-04-08-17h09m21s902_jpg.rf.7b1a50924062f435bd7c05b4204621d3.jpg,824,646,912,667,0.253
FP,vlcsnap-2020-04-08-23h23m59s090_jpg.rf.3a1cc7ed69f7dd07d77443fbb18439e2.jpg,172,574,271,599,0.346
FP,vlcsnap-2020-04-08-23h23m59s090_jpg.rf.3a1cc7ed69f7dd07d77443fbb18439e2.jpg,172,575,244,588,0.303
FP,vlcsnap-2020-04-08-23h38m43s197_jpg.rf.a8f116d0d16655e30627526e17b75742.jpg,100,809,318,837,0.27
FP,vlcsnap-2020-04-12-00h34m34s118_jpg.rf.c935a314fe2f1cd34088337049d23760.jpg,829,620,1071,650,0.378
FP,vlcsnap-2020-04-12-00h34m34s118_jpg.rf.c935a314fe2f1cd34088337049d23760.jpg,31,622,109,643,0.371
FP,vlcsnap-2020-04-12-01h08m47s479_jpg.rf.eae9ae5e1d7dc55cd18a8334c04bbee5.jpg,648,496,698,504,0.349
FP,vlcsnap-2020-04-12-01h20m54s364_jpg.rf.84ef14d8822d3f5054d87226961129e3.jpg,897,563,958,575,0.499
FP,vlcsnap-2020-04-12-01h20m54s364_jpg.rf.84ef14d8822d3f5054d87226961129e3.jpg,315,596,387,604,0.374
FP,vlcsnap-2020-04-12-01h20m54s364_jpg.rf.84ef14d8822d3f5054d87226961129e3.jpg,444,602,569,614,0.306
FP,vlcsnap-2020-04-12-01h20m54s364_jpg.rf.84ef14d8822d3f5054d87226961129e3.jpg,440,599,569,622,0.302
FP,vlcsnap-2020-04-12-01h37m20s596_jpg.rf.d98e09b871eb7dc4db5f1a44fedf058f.jpg,456,779,617,823,0.673
FP,vlcsnap-2020-04-12-01h37m20s596_jpg.rf.d98e09b871eb7dc4db5f1a44fedf058f.jpg,502,544,522,553,0.319
FP,vlcsnap-2020-04-12-02h28m10s130_jpg.rf.b416e4997cee180d7e2e7b78a96d2726.jpg,271,738,326,760,0.294
FP,vlcsnap-2020-04-12-15h55m59s157_jpg.rf.155f683c4db9db3d26164d619e9a3188.jpg,419,654,491,678,0.312
FP,vlcsnap-2020-04-12-15h57m39s359_jpg.rf.d799d2bcf534e4b8e0c4d536cb72a97e.jpg,747,164,932,279,0.256
FP,vlcsnap-2020-04-12-17h09m16s722_jpg.rf.78fd82f146250993f3e72e902d9d8101.jpg,519,475,582,489,0.368
FP,vlcsnap-2020-04-12-17h09m16s722_jpg.rf.78fd82f146250993f3e72e902d9d8101.jpg,541,433,575,439,0.258
FP,vlcsnap-2020-04-12-17h09m34s078_jpg.rf.d95b7d1bb80b6d6e7c763fbb6ffca0c7.jpg,742,595,869,628,0.47
FP,vlcsnap-2020-04-12-17h09m34s078_jpg.rf.d95b7d1bb80b6d6e7c763fbb6ffca0c7.jpg,580,450,626,457,0.379
FN,106_jpg.rf.fbfe67a0d6ad75accd17f32b524e1d61.jpg,632,427,660,436,
FN,121_jpg.rf.c32e4a0f622fe81f14a35a2d015314c1.jpg,816,719,926,747,
FN,165_jpg.rf.e319fb4abe3e8c7259d879372825125a.jpg,654,237,670,240,
FN,55_jpg.rf.4871fb18f5ed8303974d40b26ec48a60.jpg,402,527,464,557,
FN,55_jpg.rf.4871fb18f5ed8303974d40b26ec48a60.jpg,307,650,514,763,
FN,55_jpg.rf.4871fb18f5ed8303974d40b26ec48a60.jpg,44,581,216,666,
FN,G0010770_jpg.rf.863ed7ebd7c63f56f0096530ec445182.jpg,551,531,622,553,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,597,523,612,526,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,654,541,668,545,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,673,548,691,554,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,649,549,662,553,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,668,521,675,524,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,701,519,729,523,
FN,G0025080_jpg.rf.c6749d7655acb0387fef17eef44e35d0.jpg,795,514,814,517,
FN,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,475,652,500,661,
FN,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,785,510,791,512,
FN,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,475,653,500,662,
FN,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,546,609,589,621,
FN,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,786,510,792,512,
FN,G0027824_jpg.rf.02b97be353c3e3bfc7d9a615c5a4f735.jpg,861,518,897,533,
FN,G0028303_jpg.rf.a522c9a7b5ed9c016df4660fc1450090.jpg,860,547,915,560,
FN,G0028753_jpg.rf.9e3bd5a1174d3062e1bd6c53b2ea27af.jpg,649,465,671,469,
FN,G0028753_jpg.rf.9e3bd5a1174d3062e1bd6c53b2ea27af.jpg,892,494,935,504,
FN,G0028753_jpg.rf.9e3bd5a1174d3062e1bd6c53b2ea27af.jpg,882,493,940,507,
FN,G0028892_jpg.rf.924ff67848579e73b96570b998364c0c.jpg,443,538,519,563,
FN,G0029929_jpg.rf.08adfbaf6ef4db9555b1261f246edea5.jpg,633,464,679,471,
FN,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,814,492,830,496,
FN,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,859,498,884,503,
FN,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,658,508,710,516,
FN,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,694,495,745,504,
FN,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,814,491,831,498,
FN,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,764,442,791,445,
FN,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,996,467,1049,479,
FN,G0066586_jpg.rf.4374c635329a31a6c7dd5aa767267111.jpg,458,500,495,520,
FN,G0066594_jpg.rf.9ee1af815520771e0ed3e7d8a90013f5.jpg,722,539,778,552,
FN,G0066594_jpg.rf.9ee1af815520771e0ed3e7d8a90013f5.jpg,611,499,693,528,
FN,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,380,553,413,565,
FN,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,500,460,535,482,
FN,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,642,485,702,519,
FN,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,641,449,671,472,
FN,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,763,512,825,537,
FN,G0066703_jpg.rf.527327930b3379a832dbb3890d4e3136.jpg,794,492,816,497,
FN,G0066703_jpg.rf.527327930b3379a832dbb3890d4e3136.jpg,561,454,593,460,
FN,G0066703_jpg.rf.527327930b3379a832dbb3890d4e3136.jpg,815,526,865,545,
FN,G0089879_jpg.rf.87a88cf9bce65745c57b5704dafb51c1.jpg,774,466,813,474,
FN,G0090339_jpg.rf.38a9d71871782efc08f7b83b5775dc14.jpg,846,432,888,444,
FN,G0090339_jpg.rf.38a9d71871782efc08f7b83b5775dc14.jpg,822,466,859,473,
FN,G0090339_jpg.rf.38a9d71871782efc08f7b83b5775dc14.jpg,842,431,889,445,
FN,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,475,547,502,551,
FN,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,504,539,526,547,
FN,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,774,677,881,734,
FN,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,477,547,500,551,
FN,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,502,540,530,547,
FN,Image_5_jpg.rf.cf767a4d86809131cd058b5c1223741f.jpg,731,580,807,586,
FN,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,298,295,443,407,
FN,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,298,456,335,489,
FN,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,298,454,335,483,
FN,img-107_jpg.rf.d9a66cd4a7aa0730a4e94c3e9831ab62.jpg,239,290,432,458,
FN,img-146_jpg.rf.90a94fbb54772b889affe27de2febd06.jpg,164,260,435,404,
FN,img-168_jpg.rf.ac178ef7fab630587afe56b0dc7dd99b.jpg,241,264,467,355,
FN,img-168_jpg.rf.ac178ef7fab630587afe56b0dc7dd99b.jpg,82,99,145,138,
FN,img-179_jpg.rf.1946f12cb97f63aceb585b8f1fa1f23e.jpg,205,220,295,382,
FN,img-179_jpg.rf.1946f12cb97f63aceb585b8f1fa1f23e.jpg,296,253,451,468,
FN,img-179_jpg.rf.1946f12cb97f63aceb585b8f1fa1f23e.jpg,267,23,377,144,
FN,img-179_jpg.rf.1946f12cb97f63aceb585b8f1fa1f23e.jpg,574,48,675,147,
FN,img-195_jpg.rf.2303522bcd9c12fa2e2cb29e9e2c3e5e.jpg,123,151,280,215,
FN,img-195_jpg.rf.2303522bcd9c12fa2e2cb29e9e2c3e5e.jpg,194,271,434,481,
FN,img-196_jpg.rf.a9fe9a8fe50fab3d4c9f7e2f3c8de4e6.jpg,293,301,480,409,
FN,img-196_jpg.rf.a9fe9a8fe50fab3d4c9f7e2f3c8de4e6.jpg,327,232,454,296,
FN,img-217_jpg.rf.66ac9ae60518c6de5ef39032cbaa7bd6.jpg,287,530,365,605,
FN,img-217_jpg.rf.66ac9ae60518c6de5ef39032cbaa7bd6.jpg,294,531,364,612,
FN,img-23_jpg.rf.a1bc6558b5a7512393125303075b9585.jpg,185,191,602,328,
FN,img-23_jpg.rf.a1bc6558b5a7512393125303075b9585.jpg,169,556,336,703,
FN,img-245_jpg.rf.41dbe90e4c7ba87756f6d85b3b6b8358.jpg,372,230,462,306,
FN,img-245_jpg.rf.41dbe90e4c7ba87756f6d85b3b6b8358.jpg,253,303,400,392,
FN,img-264_jpg.rf.fef7ce5e27046b7f90decccdb2edf084.jpg,216,185,496,362,
FN,img-264_jpg.rf.fef7ce5e27046b7f90decccdb2edf084.jpg,221,188,481,364,
FN,img-269_jpg.rf.21d73afda4776932e3e835c40f28dd8e.jpg,602,501,660,550,
FN,img-269_jpg.rf.21d73afda4776932e3e835c40f28dd8e.jpg,604,498,656,557,
FN,img-276_jpg.rf.23e46a35e634cf0a107a98e13ea2d9f3.jpg,273,312,465,477,
FN,img-282_jpg.rf.c21784c1c12cf38cbbd64087043f4d8a.jpg,168,235,399,485,
FN,img-294_jpg.rf.4c4523045ef68345bfb57f82b18635c0.jpg,196,192,210,198,
FN,img-294_jpg.rf.4c4523045ef68345bfb57f82b18635c0.jpg,175,196,188,200,
FN,img-294_jpg.rf.4c4523045ef68345bfb57f82b18635c0.jpg,353,254,425,292,
FN,img-294_jpg.rf.4c4523045ef68345bfb57f82b18635c0.jpg,264,242,297,257,
FN,img-300_jpg.rf.f9eab7bbbe7e231578e39565d273ce52.jpg,25,144,249,181,
FN,img-300_jpg.rf.f9eab7bbbe7e231578e39565d273ce52.jpg,1,115,143,126,
FN,img-300_jpg.rf.f9eab7bbbe7e231578e39565d273ce52.jpg,0,191,299,286,
FN,img-307_jpg.rf.f79722ec1673196fbe8b411a8322c043.jpg,196,14,392,266,
FN,img-308_jpg.rf.17e12b2e0910ee72298ce37362621c6d.jpg,197,153,277,192,
FN,img-334_jpg.rf.db369de950f19db870a1355adb21fd7d.jpg,191,140,475,297,
FN,img-334_jpg.rf.db369de950f19db870a1355adb21fd7d.jpg,408,27,469,45,
FN,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,174,165,298,306,
FN,img-336_jpg.rf.818837e73b3d90738e17056c43ffddd5.jpg,148,99,206,127,
FN,img-337_jpg.rf.ae66bf164bde9b815b3d7e8e85200538.jpg,166,95,342,174,
FN,img-343_jpg.rf.fc63ec5643cc134dafffc27c81f4ad02.jpg,0,142,539,298,
FN,img-343_jpg.rf.fc63ec5643cc134dafffc27c81f4ad02.jpg,1,143,538,299,
FN,img-344_jpg.rf.0c397a295be7a002e1e8cee1a66f2475.jpg,169,208,304,258,
FN,img-344_jpg.rf.0c397a295be7a002e1e8cee1a66f2475.jpg,125,163,253,200,
FN,img-344_jpg.rf.0c397a295be7a002e1e8cee1a66f2475.jpg,144,127,230,164,
FN,img-344_jpg.rf.0c397a295be7a002e1e8cee1a66f2475.jpg,249,69,328,81,
FN,img-344_jpg.rf.0c397a295be7a002e1e8cee1a66f2475.jpg,305,2,370,11,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,172,101,248,108,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,76,144,313,299,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,201,112,373,129,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,175,103,251,112,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,202,116,375,145,
FN,img-350_jpg.rf.790a737f1a7cb299928edce8a8523c61.jpg,210,96,289,103,
FN,img-362_jpg.rf.eb97eab69f2f2157866d279dd5dd51d8.jpg,174,244,276,265,
FN,img-362_jpg.rf.eb97eab69f2f2157866d279dd5dd51d8.jpg,51,219,203,245,
FN,img-362_jpg.rf.eb97eab69f2f2157866d279dd5dd51d8.jpg,170,244,284,268,
